shot,1,0.016667,0.000,0.000,0.045
shot,2,0.033333,0.000,0.000,0.164
shot,3,0.050000,0.000,0.000,0.330
shot,4,0.066667,0.000,0.000,0.519
shot,5,0.083333,0.000,0.000,0.706
shot,6,0.100000,0.000,0.000,0.865
shot,7,0.116667,0.000,0.000,0.971
shot,8,0.133333,10.000,10.000,0.998
shot,9,0.150000,10.000,0.000,0.936
shot,10,0.166667,10.000,0.000,0.806
shot,11,0.183333,10.000,0.000,0.633
shot,12,0.200000,10.000,0.000,0.442
shot,13,0.216667,10.000,0.000,0.259
shot,14,0.233333,10.000,0.000,0.109
shot,15,0.250000,10.000,0.000,0.017
shot,16,0.266667,10.000,0.000,0.000
shot,17,0.283333,10.000,0.000,0.000
town,c0a71a9e,0,Thornford,shot_changes=4,reframes=47,steps_over_0.5=47,max_step=4.689,hero=64.552/35.800
town,c0a71a9e,1,Gloamgate,shot_changes=5,reframes=45,steps_over_0.5=45,max_step=4.667,hero=64.552/35.800
town,c0a71a9e,2,Alderwatch,shot_changes=3,reframes=43,steps_over_0.5=43,max_step=4.407,hero=91.879/35.800
town,c0a71a9e,3,Silverwick,shot_changes=3,reframes=43,steps_over_0.5=43,max_step=4.778,hero=64.552/35.800
town,c0a71a9e,4,Rosespire,shot_changes=2,reframes=44,steps_over_0.5=44,max_step=4.912,hero=64.552/35.800
town,c0a71a9e,5,Hollowbarrow,shot_changes=6,reframes=42,steps_over_0.5=42,max_step=4.689,hero=64.552/35.800
town,12345678,0,Thornford,shot_changes=4,reframes=47,steps_over_0.5=47,max_step=4.689,hero=64.552/35.800
town,12345678,1,Gloamgate,shot_changes=5,reframes=44,steps_over_0.5=44,max_step=4.667,hero=64.552/35.800
town,12345678,2,Alderwatch,shot_changes=3,reframes=42,steps_over_0.5=42,max_step=3.690,hero=54.661/35.800
town,12345678,3,Silverwick,shot_changes=3,reframes=43,steps_over_0.5=43,max_step=4.778,hero=64.552/35.800
town,12345678,4,Rosespire,shot_changes=2,reframes=45,steps_over_0.5=45,max_step=4.897,hero=64.552/35.800
town,12345678,5,Hollowbarrow,shot_changes=6,reframes=42,steps_over_0.5=42,max_step=4.689,hero=64.552/35.800
projection,0,mode=1/0,position_step=0.000000,target_step=0.000000,pixel_jump=4.698
projection,1,mode=1/0,position_step=0.000000,target_step=0.000000,pixel_jump=94.025
projection,2,mode=1/0,position_step=0.000000,target_step=0.000000,pixel_jump=35.072
platform,shift=1.9600/1.9605,overlap=0.0010323/0.0009760,height=0.12/1.65
road_cull,tree=-20/-20,distance=122.010,screen=77.2/70.9,focus=-484.854/-450.303,heading=0.610865
road_cull,tree=-20/-20,distance=122.010,screen=128.2/54.4,focus=-478.374/-458.748,heading=0.698132
road_cull,tree=-20/-20,distance=122.010,screen=176.2/42.6,focus=-471.183/-466.595,heading=0.785398
road_cull,tree=-20/-20,distance=122.010,screen=222.1/35.8,focus=-463.336/-473.786,heading=0.872665
